                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        6794      4.6691958412018451E-037      5.0251644554842694E-034      0.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      donor_index                      period_days                binary_separation                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                          v_orb_1                          v_orb_2                         lg_F_irr                        log_J_orb                     log_abs_Jdot                  log_abs_jdot_mb                  log_abs_jdot_gr                  log_abs_jdot_ml                log_abs_jdot_tide                  log_abs_jdot_ls               log_abs_extra_jdot 
                               9          2.1481910491158252E+009                                1          4.9859747247557396E-001          2.6458437087451658E+000          1.2399200454651803E-001          6.7684846141161559E-001          1.2396883305569238E-001          2.0818161438306015E+000          1.8691384160438466E-004         -6.7487596663257932E-001          9.0741206513521235E-004          9.9962709785652748E-001         -1.1641971975838532E+001         -1.1641971975838532E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6833847503408452E+002          2.4358440293188202E-001          9.9462941697652365E+000          4.8950326893680469E+001          3.2776396058377948E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2776396058377948E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              10          2.1521803857041717E+009                                1          5.0144613942214855E-001          2.6559119087722713E+000          1.2403502027827958E-001          6.7685965424276540E-001          1.2402921206388065E-001          2.0901540512185184E+000          4.6829406574999750E-005         -6.7616757537648031E-001          8.9831442603976986E-004          9.9963619549562288E-001         -1.1641971975838532E+001         -1.1641971975838532E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6783181232627464E+002          2.4068474295869197E-001          9.9430972634913797E+000          4.8946779410650414E+001          3.2760678158833926E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2760678158833926E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              11          2.1563628893480110E+009                                1          5.0506608842499068E-001          2.6686786305603571E+000          1.2407138499531156E-001          6.7687737652439739E-001          1.2418900392031175E-001          2.1006418262013917E+000         -9.4709612998962391E-004         -6.7777592158659417E-001          8.8877627155609627E-004          9.9964573365010656E-001         -1.1641971975838532E+001         -1.1641971975838532E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6719295191221227E+002          2.3755891471620452E-001          9.9390584152583692E+000          4.8943188937657020E+001          3.2741804900226626E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2741804900226626E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              12          2.1605581543930955E+009                                1          5.0679532211246092E-001          2.6747664670770916E+000          1.2413095083187442E-001          6.7689660042887712E-001          1.2410006797506042E-001          2.1058090717320046E+000          2.4885447137872209E-004         -6.7855746776124526E-001          8.8071329125228529E-004          9.9965379663041032E-001         -1.1716263804630056E+001         -1.1716263804630056E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6689086240133503E+002          2.3513573461427498E-001          9.9372075380384590E+000          4.8939729335720671E+001          3.2720831165785505E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2720831165785505E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              13          2.1643943680118990E+009                                1          5.0875329036260408E-001          2.6816512207019958E+000          1.2415403546742435E-001          6.7691540761084568E-001          1.2407621050866879E-001          2.1115749077996533E+000          6.2723513586127977E-004         -6.7942628740733679E-001          8.7334038047853942E-004          9.9966116954118411E-001         -1.1716263804630056E+001         -1.1716263804630056E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6655000619675735E+002          2.3286778652738563E-001          9.9350939282343642E+000          4.8936639740481674E+001          3.2707288411159105E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2707288411159105E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              14          2.1688620607137713E+009                                1          5.1150692890005800E-001          2.6913188441245532E+000          1.2419415715370569E-001          6.7693904677096428E-001          1.2411979009236766E-001          2.1195931560325816E+000          5.9915555192842709E-004         -6.8062783895846912E-001          8.6475381494059201E-004          9.9966975610672215E-001         -1.1716263804630056E+001         -1.1716263804630056E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6607311697868471E+002          2.3016375313437853E-001          9.9321097788017543E+000          4.8933133846438544E+001          3.2692707618310514E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2692707618310514E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              15          2.1736834649947834E+009                                1          5.1511371342188150E-001          2.7039555382846818E+000          1.2423544115574826E-001          6.7696595359465661E-001          1.2426176850830947E-001          2.1299877442042363E+000         -2.1187009389337082E-004         -6.8217377990239503E-001          8.5548744265261068E-004          9.9967902247901008E-001         -1.1716263804630056E+001         -1.1716263804630056E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6545311500126178E+002          2.2716472126568701E-001          9.9281949056917096E+000          4.8929476221495001E+001          3.2674436091581839E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2674436091581839E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              16          2.1786920918398852E+009                                1          5.1772336579227785E-001          2.7130803056709833E+000          1.2429119714420268E-001          6.7699495907994212E-001          1.2426794384497898E-001          2.1375895103796547E+000          1.8712226584124375E-004         -6.8329047471808479E-001          8.4689245288663382E-004          9.9968761746877610E-001         -1.1765473312987668E+001         -1.1765473312987668E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6500862489758083E+002          2.2450393548326217E-001          9.9254290415541604E+000          4.8925826130340084E+001          3.2653341640448488E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2653341640448488E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              17          2.1840946070087428E+009                                1          5.2118964997528194E-001          2.7251766555171035E+000          1.2432764782016770E-001          6.7702773702940933E-001          1.2437115041965577E-001          2.1475709199312045E+000         -3.4978047032031194E-004         -6.8474720404060174E-001          8.3762153612183820E-004          9.9969688838554094E-001         -1.1765473312987668E+001         -1.1765473312987668E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6442227080778861E+002          2.2155294392936717E-001          9.9217398811653563E+000          4.8922015735807975E+001          3.2635400429223886E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2635400429223886E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              18          2.1897055344678898E+009                                1          5.2380696086837841E-001          2.7342925669741280E+000          1.2437922227445221E-001          6.7706268791662549E-001          1.2435949531850875E-001          2.1551817017795876E+000          1.5862846574704346E-004         -6.8584426670031673E-001          8.2891960374222452E-004          9.9970559031792050E-001         -1.1809418949781605E+001         -1.1809418949781605E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6398341936447082E+002          2.1888547337674324E-001          9.9190209105294205E+000          4.8918209252794654E+001          3.2614707279342689E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2614707279342689E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
