NAME,MASS,R,A,PER,MULT,DENSITY
TrES-1 b,239.151915,11.95998244,0.0392516,3.030065,0,0.769
Kepler-45 b,162.5628789,10.7606215,0.0298817,2.455239,0,0.76661
XO-2 b,180.055823,11.01842806,0.0368367,2.615838,0,0.741
WASP-80 b,175.359447,10.67094966,0.0344696,3.0678504,0,0.734604
KELT-3 b,464.5334719,15.22179583,0.0412729,2.70339,0,0.721
CoRoT-19 b,352.1153801,14.45958514,0.0516604,3.89713,0,0.71
HAT-P-29 b,247.5804116,12.40834167,0.0666842,5.723186,0,0.71
HATS-10 b,167.1715376,10.86150233,0.0449161,3.312846,0,0.7
CoRoT-28 b,153.8232399,10.7045766,0.0590095,5.20851,0,0.69
OGLE-TR-56 b,441.7650899,15.27784074,0.0238308,1.211909,0,0.68
WASP-4 b,388.7246756,15.03124316,0.0230406,1.3382299,0,0.665
WASP-41 b,296.3617654,13.45077688,0.0404959,3.052401,0,0.663
WASP-68 b,304.1565357,13.89913611,0.0621834,5.084298,0,0.663
OGLE-TR-211 b,240.6752101,15.24421379,0.0512842,3.67724,0,0.661909
HAT-P-5 b,335.4903932,14.05606184,0.0407152,2.788491,0,0.66
WASP-29 b,77.22657623,8.877512739,0.0456587,3.922727,0,0.6517
Kepler-44 b,324.5193638,13.89913611,0.0454854,3.24674,0,0.65
XO-1 b,291.9031162,13.51803076,0.049283,3.941534,0,0.65
WASP-98 b,263.7877875,12.3298788,0.0356868,2.96264,0,0.63
WTS-2 b,355.9546048,14.57167495,0.0185537,1.0187074,0,0.63
Kepler-77 b,136.9652934,10.7606215,0.0450195,3.57878087,0,0.603
HAT-P-38 b,85.0378729,9.247409103,0.0522992,4.640382,0,0.59
OGLE-TR-111 b,174.7991363,11.78063875,0.0468733,4.0144479,0,0.59
WASP-26 b,323.3656895,14.79585456,0.0399686,2.7566,0,0.5852
WASP-56 b,192.4014093,12.24020696,0.056145,4.617101,0,0.580788
HAT-P-8 b,411.0512926,16.8134711,0.0449613,3.076337,0,0.568
HAT-P-6 b,336.748947,14.90794437,0.0523738,3.852985,0,0.559
WASP-103 b,472.8825143,17.12732256,0.0198682,0.925542,0,0.553034
HAT-P-35 b,335.0486281,14.93036233,0.0497734,3.646706,0,0.55
Kepler-423 b,317.8166114,13.45077688,0.038671,2.68432848,0,0.55
WASP-42 b,157.9446857,11.91514652,0.0547344,4.9816877,0,0.546312
HATS-3 b,341.1761324,15.47960239,0.0485119,3.547851,0,0.540462
WASP-22 b,177.678237,12.55405842,0.0468682,3.53269,0,0.532
CoRoT-4 b,228.0076756,13.33868707,0.0903166,9.20205,0,0.525
WASP-75 b,340.0637742,14.23540553,0.0375112,2.484193,0,0.52
WASP-28 b,288.2596666,13.59649363,0.0446486,3.40883,0,0.508
WASP-24 b,346.7379231,14.57167495,0.0365155,2.3412127,0,0.487
WASP-44 b,282.8046622,12.77823803,0.0347371,2.4238039,0,0.458647
WASP-34 b,185.3995915,13.67495649,0.0520747,4.3176782,0,0.4522
WASP-58 b,283.2950533,15.3563036,0.0562022,5.01718,0,0.45084
CoRoT-16 b,170.9796162,13.11450746,0.0617874,5.35227,0,0.44
HAT-P-24 b,217.9767477,13.92155407,0.0465021,3.35524,0,0.44
HAT-P-28 b,199.5357566,13.58528465,0.0433674,3.257215,0,0.44
WASP-19 b,360.2101692,15.53564729,0.0163152,0.78884,0,0.438
WASP-35 b,227.9056564,14.79585456,0.0431283,3.161575,0,0.4256
KELT-7 b,406.8052626,17.18336746,0.0441609,2.7347749,0,0.422
WASP-25 b,183.8473752,13.67495649,0.0473714,3.764825,0,0.42161
HATS-5 b,75.53324932,10.22259043,0.0542014,4.763387,0,0.415453
CoRoT-12 b,292.1306729,16.14093225,0.0401409,2.828042,0,0.41097
HAT-P-4 b,213.4160793,14.28024145,0.0443853,3.056536,0,0.403
HAT-P-26 b,18.63959466,6.333074113,0.0478684,4.234516,0,0.4
OGLE-TR-10 b,197.0462991,14.01122591,0.0434856,3.10129,0,0.4
WASP-100 b,645.1677212,18.94317744,0.0457351,2.849375,0,0.4
HATS-6 b,101.383499,11.18656277,0.0362414,3.3252725,0,0.399
Kepler-447 b,435.4087577,18.49481821,0.0769686,7.79430132,0,0.399
CoRoT-1 b,327.2843683,16.70138129,0.0253191,1.5089557,0,0.38
Kepler-422 b,317.8166114,12.89032784,0.0812822,7.8914483,0,0.38
WASP-70 A b,187.5359548,13.04725357,0.0485382,3.7130203,0,0.375
HAT-P-30 b,225.9955786,15.02003418,0.0419042,2.810595,0,0.37
Kepler-74 b,212.0186397,14.79585456,0.0827067,7.340718,0,0.37
WASP-49 b,120.2080948,12.49801351,0.0378972,2.7817387,0,0.361998
WASP-6 b,165.6968685,13.71979241,0.0428704,3.361006,0,0.3591
Kepler-6 b,212.7388121,14.82948151,0.0456089,3.234723,0,0.352
HAT-P-9 b,246.8166983,15.69257302,0.0528645,3.92289,0,0.35
WASP-83 b,95.34498343,11.65733996,0.0590285,4.971252,0,0.35
HAT-P-1 b,169.1957116,13.92155407,0.0553326,4.4652934,0,0.345
WASP-55 b,181.5282674,14.57167495,0.0532575,4.465633,0,0.34476
HD 209458 b,219.1809548,15.23300481,0.047235,3.52474859,0,0.338
KELT-6 b,137.0488792,13.37231401,0.0794132,7.8457,0,0.336761
WASP-74 b,301.9257809,17.48600994,0.0370185,2.13775,0,0.333
WASP-82 b,397.2707643,19.16735705,0.0448252,2.705785,0,0.33
WASP-1 b,291.7556493,16.99281479,0.0385203,2.5199449,0,0.328
WASP-12 b,432.430816,20.06407551,0.0225329,1.09142245,0,0.32
WASP-21 b,95.43142955,11.99360938,0.0521087,4.322482,0,0.3192
HAT-P-46 b,156.6835894,14.39233126,0.0576688,4.463129,0,0.311583
HAT-P-12 b,66.99701296,10.74941252,0.0383737,3.2130598,0,0.295
WASP-52 b,145.2946312,14.23540553,0.0271336,1.7497798,0,0.29172
Kepler-407 b,0,1.069998092,0.0149747,0.6693109,0,0.29
WASP-69 b,82.48707678,11.84789263,0.0452527,3.8681382,0,0.286703
CoRoT-26 b,152.386391,14.12331572,0.052477,4.20474,0,0.28
WASP-96 b,152.5519735,13.45077688,0.0453489,3.4252602,0,0.28
WASP-48 b,312.8065504,18.71899782,0.034488,2.143634,0,0.2793
WASP-62 b,178.6987461,15.58048322,0.0567187,4.411953,0,0.27846
Kepler-425 b,317.8166114,10.96238315,0.0464979,3.79701816,0,0.27
Kepler-8 b,186.1585376,15.90554366,0.0483278,3.52254,0,0.261
Kepler-426 b,317.8166114,12.217789,0.0413383,3.21751883,0,0.26
HAT-P-18 b,62.67502486,11.15293583,0.0559503,5.508023,0,0.25
HAT-P-19 b,92.88921447,12.68856619,0.0466409,4.008778,0,0.25
CoRoT-22 b,12.17237622,4.987996425,0.0922129,9.75598,0,0.249
WASP-15 b,172.5099032,15.45718443,0.0499436,3.7521,0,0.247
HAT-P-44 b,111.8714472,13.92155407,0.0507459,4.301219,0,0.235151
CoRoT-5 b,147.001942,15.55806525,0.0496334,4.0378962,0,0.217
TrES-4 b,293.9803656,19.98561264,0.0509243,3.553945,0,0.213
WASP-67 b,133.2636833,15.69257302,0.0517914,4.61442,0,0.21216
HAT-P-33 b,242.5754356,18.89834151,0.0499317,3.474474,0,0.2
HAT-P-41 b,254.3340146,18.88713253,0.0425775,2.694047,0,0.2
WASP-17 b,161.6246843,21.65575077,0.0499354,3.735433,0,0.1915
HAT-P-32 b,273.8040958,20.05286653,0.0342627,2.150008,0,0.19
HAT-P-39 b,190.4344423,17.60930873,0.0509456,3.54387,0,0.19
WASP-54 b,201.0921045,18.52844515,0.049881,3.6936411,0,0.186966
WASP-39 b,90.36733966,14.23540553,0.0485835,4.055259,0,0.1862
WASP-101 b,158.9083057,15.80466283,0.0505526,3.585722,0,0.18
WASP-13 b,150.6078893,15.77103589,0.0537034,4.3530135,0,0.18
WASP-78 b,280.9489311,19.05526724,0.0361391,2.17517656,0,0.18
WASP-79 b,282.0666921,19.05526724,0.0534741,3.6623817,0,0.18
WASP-63 b,120.1651895,16.02884245,0.0574592,4.37808,0,0.17238
Kepler-7 b,139.1267642,16.56687352,0.0622369,4.885525,0,0.166
CoRoT-25 b,85.81048509,12.10569919,0.0577982,4.86069,0,0.15
HAT-P-40 b,197.1098624,19.39153666,0.060845,4.457243,0,0.15
WASP-88 b,179.1039623,19.05526724,0.0643804,4.954,0,0.14586
WASP-31 b,152.3387185,17.22820338,0.0466223,3.405909,0,0.132
Kepler-435 b,266.9659536,22.30587165,0.0948432,8.6001536,0,0.131
WASP-94 A b,133.0539244,19.27944686,0.0532427,3.9501907,0,0.118
WASP-57 b,214.808116,10.26742635,0.0386362,2.838971,0,0.11576
Kepler-12 b,137.2827922,18.99922234,0.0556348,4.4379637,0,0.111
WASP-20 b,98.84096615,16.38752983,0.0599991,4.8996285,0,0.1006
WASP-33 b,0,16.77984415,0.0255483,1.21986983,0,0.00122703
Kepler-21 b,3.860613724,1.635390289,0.0427173,2.785755,0,0
51 Peg b,146.5589056,,0.0521068,4.230785,0,
BD -10 3166 b,136.6303147,,0.0437823,3.48777,0,
GJ 176 b,8.262246666,,0.0656822,8.7832,0,
GJ 3634 b,7.051746756,,0.0286881,2.64561,0,
GJ 433 b,5.783817385,,0.0580371,7.3709,0,
GJ 674 b,11.08512559,,0.0386657,4.6938,0,
HD 102195 b,143.9070438,,0.0479747,4.113775,0,
HD 102956 b,302.4015523,,0.0810025,6.4948,0,
HD 103774 b,116.9736751,,0.070273,5.8881,0,
HD 109749 b,87.29468866,,0.0629198,5.24,0,
HD 118203 b,678.9293798,,0.0702997,6.1335,0,
HD 125595 b,13.24545222,,0.0809437,9.6737,0,
HD 1461 b,7.628997067,,0.0635202,5.7727,0,
HD 149143 b,422.0954198,,0.0530508,4.072,0,
HD 156668 b,4.150112875,,0.0499846,4.6455,0,
HD 162020 b,4835.198363,,0.0756944,8.428198,0,
HD 168746 b,77.89780491,,0.0655505,6.404,0,
HD 179949 b,286.6944198,,0.0439208,3.092514,0,
HD 185269 b,303.2644244,,0.0765701,6.8378503,0,
HD 212301 b,125.9030506,,0.034116,2.245715,0,
HD 219828 b,19.77407284,,0.0515012,3.8334999,0,
HD 2638 b,151.7018141,,0.0435743,3.4442,0,
HD 285507 b,291.4378327,,0.0588842,6.0881,0,
HD 330075 b,198.2298481,,0.0392074,3.38773,0,
HD 46375 b,72.20825193,,0.0399038,3.023573,0,
HD 49674 b,32.28095104,,0.0571073,4.94737,0,
HD 63454 b,122.221463,,0.0362523,2.818049,0,
HD 68988 b,572.0444752,,0.0692771,6.27711,0,
HD 73256 b,594.0056031,,0.0371348,2.5485799,0,
HD 75289 b,146.2083539,,0.047858,3.509267,0,
HD 76700 b,73.77858381,,0.0511051,3.97097,0,
HD 77338 b,15.8316849,,0.0612143,5.7361,0,
HD 83443 b,125.8092947,,0.0404623,2.985698,0,
HD 86081 b,475.4377599,,0.0346186,2.1375,0,
HD 88133 b,94.10804118,,0.0469104,3.41587,0,
HIP 91258 b,339.428141,,0.0566534,5.0505,0,
KOI-13 b,2070.575223,15.75982691,0.0342279,1.76358799,0,
Kepler-105 c,3.808618926,1.610001947,0.0724716,7.125939,0,
Kepler-114 b,2.086002042,1.260001524,0.0586548,5.188549,0,
Kepler-63 b,39.81701853,6.108894498,0.0869107,9.4341505,0,
Kepler-76 b,622.9205584,,0.0271768,1.545,0,
M 67 YBP 1194 b,110.0687914,,0.0715732,6.958,0,
M 67 YBP 1514 b,126.3060421,,0.057344,5.118,0,
Pr 201 b,171.6702317,,0.0565986,4.4264,0,
Pr 211 b,586.0347625,,0.0320419,2.1451,0,
WASP-94 B b,196.9951306,,0.0334746,2.00839,0,
alpha Cen B b,1.127101653,,0.0418506,3.2357,0,
tau Boo b,1891.008838,,0.0480039,3.312433,0,
Kepler-68 c,4.81237913,0.95214911,0.0907017,9.605085,1,28
Kepler-406 c,2.725296512,0.849998306,0.0555527,4.62332,1,24.39
Kepler-102 b,0,0.469958935,0.0551367,5.28696,1,23.29
Kepler-100 b,7.339688606,1.320003198,0.072684,6.88705,1,14.25
Kepler-406 b,6.349721643,1.429996926,0.0361437,2.42629,1,11.82
Kepler-89 b,9.132396766,1.746359198,0.0511881,3.743208,1,10.1
Kepler-10 b,4.539183971,1.415996909,0.0167573,0.837495,1,8.8
Kepler-20 b,8.474452817,1.908295343,0.0453704,3.6961219,1,6.5
Kepler-18 b,6.991965451,2.000018432,0.0447299,3.504725,1,4.9
