NAME,A,PER,ECC,MASS,R,MSTAR,RSTAR,VSINI
#,au,day,,mjupiter,rjupiter,msun,rsun,km/s
WASP-48b,0.034488,2.143634,0,0.984236,1.67,1.19,1.75,2.4
Kepler-89b,0.0511881,3.743208,0.25,0.0287348,0.1558,1.277,1.52,7.3
WASP-32b,0.0390315,2.718661,0,3.45362,1.1,1.07,1.09,3.9
Kepler-265b,0.0705628,6.846262,,0.0136944,0.165938,,1.103,
OGLE-TR-211b,0.0512842,3.67724,0,0.757277,1.36,1.33,1.64,0
Kepler-325b,0.0536941,4.544439,,0.0253561,0.259613,,1.003,
Kepler-256b,0.0270005,1.620493,,0.011856,0.14185,,1.301,
Kepler-269c,0.079115,8.127899,,0.0125062,0.150772,,0.959,
Kepler-250b,0.0505253,4.148141,,0.00450004,0.100812,,0.805,
HD179949b,0.0439208,3.092514,0.022,0.902075,,1.181,1.22645,7.02041
WASP-56b,0.056145,4.617101,0,0.605385,1.092,1.107,1.112,1.5
Kepler-18c,0.0752115,7.64159,0.000338541,0.0544,0.489785,0.972,1.108,0.4
Kepler-388b,0.0422619,3.173315,,0.00137963,0.0722634,,0.586,
CoRoT-8b,0.0633825,6.21229,0,0.216078,0.57,0.88,0.77,2
Kepler-291c,0.0624544,5.700786,,0.0138423,0.167722,,1.016,
Kepler-81b,0.0554099,5.955,,0.0187628,0.216,0.64,0.59,
Kepler-32c,0.0676835,8.7522,0,0.0147699,0.1784,0.54,0.53,
Kepler-23b,0.0749015,7.10664,0,0.0139795,0.169356,1.11,1.52,
WASP-23b,0.037022,2.9444256,0,0.872226,0.962,0.78,0.765,2.2
CoRoT-25b,0.0577982,4.86069,0,0.27,1.08,1.09,1.19,4.3
Kepler-332b,0.0758257,7.626324,,0.00508144,0.10438,,0.72,
OGLE-TR-132b,0.0303507,1.689868,0,1.18,1.2,1.305,1.32,0
Pr201b,0.0565986,4.4264,0,0.540155,,1.234,1.12943,9.6
WASP-52b,0.0271336,1.7497798,0,0.457165,1.27,0.87,0.79,2.5
Kepler-337c,0.0889716,9.693201,,0.0151834,0.182889,,1.761,
Kepler-213b,0.0356868,2.46236,,0.0120479,0.144527,,1.195,
Kepler-304b,0.0433417,3.295709,,0.0245625,0.255152,,0.687,
Kepler-77b,0.0450195,3.57878087,0,0.430957,0.96,0.95,0.99,1.5
HD109749b,0.0629198,5.24,0,0.27467,,1.21,1.10733,2.5
Kepler-55d,0.0332158,2.211099,,0.011856,0.14185,,0.619,
Kepler-327b,0.0365246,2.549575,,0.00422638,0.0990276,,0.492,
WASP-50b,0.0294714,1.9550959,0.009,1.47244,1.153,0.892,0.843,2.6
Kepler-105c,0.0724716,7.125939,,0.0119837,0.143635,,1.16,
WASP-98b,0.0356868,2.96264,0,0.83,1.1,0.69,0.7,
