                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        6794      4.6625924414028488E-037      5.0261649495098315E-034      0.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      donor_index                      period_days                binary_separation                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                          v_orb_1                          v_orb_2                         lg_F_irr                        log_J_orb                     log_abs_Jdot                  log_abs_jdot_mb                  log_abs_jdot_gr                  log_abs_jdot_ml                log_abs_jdot_tide                  log_abs_jdot_ls               log_abs_extra_jdot 
                               9          1.1300590543428807E+009                                1          1.9605191134330986E+000          6.5918420814554821E+000          1.1880727922782391E-001          6.7051583389919744E-001          3.1106330098606461E-001          5.1843880971949652E+000         -6.1806076495939199E-001         -8.7066635033322770E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7001839296923049E+002          1.5771994789687568E-001          9.1239322604126123E+000          4.9158083817561348E+001          3.1377965587664143E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1377965587664143E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              10          1.1577366627902176E+009                                1          1.9518693917851504E+000          6.5724391904229149E+000          1.1869972489049069E-001          6.7067288877227216E-001          3.1014769541501441E-001          5.1691280050875692E+000         -6.1728000354264645E-001         -8.7025415348349255E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7026916875901483E+002          1.5795258357709729E-001          9.1272635139767555E+000          4.9157443708584921E+001          3.1384993311568071E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1384993311568071E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              11          1.1909497929270220E+009                                1          1.9413267546154471E+000          6.5487513456621729E+000          1.1857794859242085E-001          6.7085338449018894E-001          3.0902988660019909E-001          5.1504978590816028E+000         -6.1628970616091705E-001         -8.6974979839913757E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7057683572711178E+002          1.5823799515716455E-001          9.1313874218433781E+000          4.9156659670626198E+001          3.1393183183545347E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1393183183545347E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              12          1.2308055490911872E+009                                1          1.9284331364944747E+000          6.5197227984673631E+000          1.1844079833044312E-001          6.7110485898091365E-001          3.0766005467739710E-001          5.1276673281471608E+000         -6.1502705167677196E-001         -8.6912082706749783E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7095615387194917E+002          1.5858987495672786E-001          9.1364640335844634E+000          4.9155694985808388E+001          3.1403175960776245E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1403175960776245E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              13          1.2786324564881852E+009                                1          1.9125919496839541E+000          6.4839693973085728E+000          1.1828770267443084E-001          6.7143012000171598E-001          3.0597288273843021E-001          5.0995477972009722E+000         -6.1340462064557355E-001         -8.6833536095685804E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7142684248752286E+002          1.5902651585555913E-001          9.1427431079971981E+000          4.9154500898488699E+001          3.1415566019001645E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1415566019001645E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              14          1.3360247453645830E+009                                1          1.8930184917997142E+000          6.4396556533851328E+000          1.1811860678906855E-001          6.7184183575946221E-001          3.0388175566142467E-001          5.0646956809488026E+000         -6.1130076225875007E-001         -8.6734803469305344E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7201565823016844E+002          1.5957273904135133E-001          9.1505392449533005E+000          4.9153011742790703E+001          3.1430947248505404E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1430947248505404E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              15          1.4048954920162604E+009                                1          1.8686579681437760E+000          6.3842901861444128E+000          1.1793413413984948E-001          6.7235601903139008E-001          3.0126910736255463E-001          5.0211515447556847E+000         -6.0854222601083141E-001         -8.6609525463663228E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7275992018286857E+002          1.6026316408508606E-001          9.1602798410147557E+000          4.9151136729701250E+001          3.1450148238896752E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1450148238896752E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              16          1.4875403879982734E+009                                1          1.8380548616366377E+000          6.3143946340215855E+000          1.1773575063381944E-001          6.7299299597265705E-001          2.9797079698149509E-001          4.9661797077494727E+000         -6.0487486751551978E-001         -8.6448476785435580E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7371344927732233E+002          1.6114771872925693E-001          9.1725605447259557E+000          4.9148746280644758E+001          3.1474309661592464E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1474309661592464E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              17          1.5663652372687531E+009                                1          1.8070733100102585E+000          6.2432384416094200E+000          1.1757438062225013E-001          6.7361566184042387E-001          2.9461299808039626E-001          4.9102163954575779E+000         -6.0091923510392586E-001         -8.6281344698706486E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7470057855797407E+002          1.6206344305762449E-001          9.1850206019602325E+000          4.9146285381184072E+001          3.1505051286892083E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1505051286892083E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              18          1.6402001489041135E+009                                1          1.7762210466890960E+000          6.1719739158573610E+000          1.1744223281637814E-001          6.7420948420407378E-001          2.9125008702310545E-001          4.8541678805666333E+000         -5.9676498634981967E-001         -8.6110709378156647E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7570627153251667E+002          1.6299638825711130E-001          9.1974586967153336E+000          4.9143792461262628E+001          3.1536590238975879E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1536590238975879E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              19          1.7089128626213381E+009                                1          1.7456797723075150E+000          6.1010201668987367E+000          1.1733476166360006E-001          6.7477139701753097E-001          2.8790184125270124E-001          4.7983637871118905E+000         -5.9244872782660896E-001         -8.5937468959107999E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7672503399426759E+002          1.6394145754979500E-001          9.2098104794002769E+000          4.9141281650554703E+001          3.1568418684925859E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1568418684925859E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              20          1.7726291786257894E+009                                1          1.7155491409939989E+000          6.0306137825856014E+000          1.1724804998515706E-001          6.7529989853843719E-001          2.8457942514438000E-001          4.7429901880042244E+000         -5.8799533759100175E-001         -8.5762148522963888E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7775365772527746E+002          1.6489567478727782E-001          9.2220440073888437E+000          4.9138761178240607E+001          3.1600357450537043E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1600357450537043E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              21          1.8315984001491535E+009                                1          1.6858815072758178E+000          5.9608853939197299E+000          1.1717864946428884E-001          6.7579492638596939E-001          2.8128900306162641E-001          4.6881498226300424E+000         -5.8342257184289337E-001         -8.5585039899453341E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7879028560839515E+002          1.6585731718877586E-001          9.2341453653410532E+000          4.9136235806283558E+001          3.1632303215972811E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1632303215972811E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
